Traffic_source,Views,Watch_time (hours),Average_view_duration,Impressions,Impressions_click-through_rate(%)
Suggested videos,15398,2319.0307,0:09:02,307975,2.13
Direct or unknown,2158,149.8786,0:04:10,,
External,2123,108.2728,0:03:03,,
Browse features,1810,55.1654,0:01:49,105884,1
YouTube search,1677,63.9085,0:02:17,17125,8.47
Channel pages,723,32.5804,0:02:42,11160,5
Other YouTube features,269,24.2355,0:05:24,,
Playlists,47,4.8692,0:06:12,447,3.58
Shorts feed,36,0.1257,0:00:12,,
Playlist page,34,1.3192,0:02:19,967,3.1
Notifications,21,0.6565,0:01:52,,
End screens,2,0.1378,0:04:08,,
Video cards and annotations,1,0.0138,0:00:49,,